Line,Date,Time,Red,Green,Blue,Tri_X,Tri_Y,Tri_Z
2,2020-09-23,23:32:55,0,0,0,0.55677,0.522454,0.33138
3,2020-09-23,23:33:40,0,0,25,0.79604,0.389549,0.69726
4,2020-09-23,23:34:25,0,0,51,1.0272,0.965898,0.52153
5,2020-09-23,23:35:11,0,0,76,1.79038,0.91522,6.56055
6,2020-09-23,23:35:56,0,0,102,2.90331,0.90148,12.69
7,2020-09-23,23:36:42,0,0,127,3.30824,1.198228,15.53175
8,2020-09-23,23:37:27,0,0,153,4.0965,1.149093,21.04586
9,2020-09-23,23:38:13,0,0,178,4.57083,1.505581,24.26922
10,2020-09-23,23:38:58,0,0,204,5.54731,1.917737,29.21547
11,2020-09-23,23:39:43,0,0,229,6.31526,1.944293,34.24997
12,2020-09-23,23:40:29,0,0,255,7.38588,2.559718,39.31086
13,2020-09-23,23:41:14,0,25,0,1.01813,0.658253,0.49729
14,2020-09-23,23:42:00,0,25,25,0.88901,0.437776,0.01682
15,2020-09-23,23:42:45,0,25,51,0.52998,0.155059,0.89426
16,2020-09-23,23:43:31,0,25,76,2.03787,1.035041,5.65826
17,2020-09-23,23:44:16,0,25,102,2.3787,0.938628,10.55954
18,2020-09-23,23:45:01,0,25,127,3.38606,0.861078,15.93992
19,2020-09-23,23:45:47,0,25,153,4.27794,1.649292,20.67897
20,2020-09-23,23:46:32,0,25,178,4.58537,1.552108,24.59178
21,2020-09-23,23:47:18,0,25,204,5.70539,1.735013,30.33047
22,2020-09-23,23:48:03,0,25,229,6.44262,2.353837,33.40545
23,2020-09-23,23:48:48,0,25,255,7.1411,2.34066,38.49886
24,2020-09-23,23:49:34,0,51,0,1.08502,0.646975,0.54763
25,2020-09-23,23:50:19,0,51,25,0.84248,0.249526,0.75219
26,2020-09-23,23:51:05,0,51,51,0.7857,0.310917,1.22953
27,2020-09-23,23:51:50,0,51,76,1.64008,0.621255,6.17387
28,2020-09-23,23:52:36,0,51,102,2.70747,1.126815,11.02059
29,2020-09-23,23:53:21,0,51,127,3.16653,1.095539,14.90848
30,2020-09-23,23:54:07,0,51,153,4.38229,1.963754,21.26829
31,2020-09-23,23:54:52,0,51,178,5.83107,2.82388,27.29566
32,2020-09-23,23:55:37,0,51,204,6.52233,3.115752,31.01076
33,2020-09-23,23:56:23,0,51,229,6.99707,3.480591,35.16032
34,2020-09-23,23:57:08,0,51,255,7.68902,3.277963,39.43827
35,2020-09-23,23:57:54,0,76,0,1.47083,4.011137,1.46338
36,2020-09-23,23:58:39,0,76,25,1.67314,4.25675,1.16528
37,2020-09-23,23:59:25,0,76,51,2.36872,4.362272,5.81271
38,2020-09-24,00:00:10,0,76,76,2.86886,3.95172,10.63071
39,2020-09-24,00:00:55,0,76,102,3.96873,4.961947,14.41973
40,2020-09-24,00:01:41,0,76,127,4.96631,5.029415,19.76541
41,2020-09-24,00:02:26,0,76,153,5.16482,5.276657,22.52114
42,2020-09-24,00:03:12,0,76,178,6.11718,5.47268,27.42016
43,2020-09-24,00:03:57,0,76,204,7.05556,5.588227,32.64423
44,2020-09-24,00:04:43,0,76,229,7.35554,6.073787,35.47584
45,2020-09-24,00:05:28,0,76,255,7.93954,5.992332,41.01034
46,2020-09-24,00:06:13,0,102,0,2.06895,7.03801,1.40815
47,2020-09-24,00:06:59,0,102,25,1.58917,6.437972,1.82756
48,2020-09-24,00:07:44,0,102,51,2.75009,7.065394,6.14434
49,2020-09-24,00:08:30,0,102,76,3.4153,7.472124,10.08307
50,2020-09-24,00:09:15,0,102,102,4.15332,7.400988,14.7518
51,2020-09-24,00:10:00,0,102,127,4.93576,7.774319,19.67815
52,2020-09-24,00:10:46,0,102,153,5.34033,7.572134,23.51467
53,2020-09-24,00:11:31,0,102,178,6.15249,7.977841,28.02839
54,2020-09-24,00:12:17,0,102,204,7.16708,8.148882,33.19474
55,2020-09-24,00:13:02,0,102,229,7.70807,8.274939,36.05017
56,2020-09-24,00:13:48,0,102,255,8.48456,8.702993,40.21436
57,2020-09-24,00:14:33,0,127,0,2.10121,9.199687,0.7522
58,2020-09-24,00:15:18,0,127,25,1.93746,9.212144,1.36498
59,2020-09-24,00:16:04,0,127,51,2.90764,9.409076,6.72813
60,2020-09-24,00:16:49,0,127,76,3.68125,9.859941,10.94138
61,2020-09-24,00:17:35,0,127,102,4.47053,9.859939,15.81319
62,2020-09-24,00:18:20,0,127,127,4.93729,10.07697,18.74422
63,2020-09-24,00:19:06,0,127,153,5.89471,10.24851,24.18941
64,2020-09-24,00:19:51,0,127,178,6.65647,10.26486,28.05668
65,2020-09-24,00:20:36,0,127,204,6.91739,10.30722,32.20139
66,2020-09-24,00:21:22,0,127,229,7.6044,10.80039,36.30404
67,2020-09-24,00:22:07,0,127,255,8.59894,10.98505,40.77382
68,2020-09-24,00:22:53,0,153,0,2.32324,11.71071,2.64894
69,2020-09-24,00:23:38,0,153,25,2.07599,11.34929,2.87658
70,2020-09-24,00:24:24,0,153,51,3.2333,11.76475,7.64949
