Line,Date,Time,Red,Green,Blue,Tri_X,Tri_Y,Tri_Z
2,3/22/2020,0:46:46,0,0,0,0,0,0
3,3/22/2020,0:46:48,0,0,25,0.0017545,0.0007018,0.0092403
4,3/22/2020,0:46:50,0,0,51,0.0059748,0.0023899,0.0314671
5,3/22/2020,0:46:53,0,0,76,0.0130437,0.0052175,0.0686967
6,3/22/2020,0:46:55,0,0,102,0.0239802,0.0095921,0.1262956
7,3/22/2020,0:46:57,0,0,127,0.0383036,0.0153214,0.2017322
8,3/22/2020,0:46:59,0,0,153,0.0574916,0.0229966,0.302789
9,3/22/2020,0:47:02,0,0,178,0.0803503,0.0321401,0.423178
10,3/22/2020,0:47:04,0,0,204,0.1089792,0.0435917,0.5739573
11,3/22/2020,0:47:06,0,0,229,0.1414135,0.0565654,0.7447779
12,3/22/2020,0:47:08,0,0,255,0.1804808,0.0721923,0.9505322
13,3/22/2020,0:47:11,0,25,0,0.0034762,0.0069523,0.0011587
14,3/22/2020,0:47:13,0,25,25,0.0052306,0.0076541,0.010399
15,3/22/2020,0:47:15,0,25,51,0.0094509,0.0093422,0.0326259
16,3/22/2020,0:47:17,0,25,76,0.0165198,0.0121698,0.0698554
17,3/22/2020,0:47:19,0,25,102,0.0274563,0.0165444,0.1274543
18,3/22/2020,0:47:22,0,25,127,0.0417797,0.0222737,0.2028909
19,3/22/2020,0:47:24,0,25,153,0.0609677,0.0299489,0.3039477
20,3/22/2020,0:47:26,0,25,178,0.0838264,0.0390924,0.4243368
21,3/22/2020,0:47:28,0,25,204,0.1124554,0.050544,0.575116
22,3/22/2020,0:47:31,0,25,229,0.1448897,0.0635177,0.7459366
23,3/22/2020,0:47:33,0,25,255,0.1839569,0.0791446,0.9516909
24,3/22/2020,0:47:35,0,51,0,0.0118377,0.0236755,0.0039459
25,3/22/2020,0:47:37,0,51,25,0.0135922,0.0243773,0.0131862
26,3/22/2020,0:47:40,0,51,51,0.0178125,0.0260654,0.0354131
27,3/22/2020,0:47:42,0,51,76,0.0248814,0.028893,0.0726426
28,3/22/2020,0:47:44,0,51,102,0.0358179,0.0332676,0.1302415
29,3/23/2020,1:47:44,0,51,127,0.0501413,0.0389969,0.2056781
30,3/24/2020,2:47:44,0,51,153,0.0693293,0.0466721,0.3067349
31,3/25/2020,3:47:44,0,51,178,0.092188,0.0558156,0.427124
32,3/26/2020,4:47:44,0,51,204,0.120817,0.0672672,0.5779032
33,3/27/2020,5:47:44,0,51,229,0.1532513,0.0802409,0.7487238
34,3/28/2020,6:47:44,0,51,255,0.1923185,0.0958678,0.9544781
35,3/29/2020,7:47:44,0,76,0,0.0258433,0.0516866,0.0086144
36,3/30/2020,8:47:44,0,76,25,0.0275978,0.0523884,0.0178548
37,3/31/2020,9:47:44,0,76,51,0.0318181,0.0540765,0.0400816
38,4/1/2020,10:47:44,0,76,76,0.038887,0.056904,0.0773111
39,4/2/2020,11:47:44,0,76,102,0.0498235,0.0612786,0.13491
40,4/3/2020,12:47:44,0,76,127,0.0641469,0.067008,0.2103466
41,4/4/2020,13:47:44,0,76,153,0.0833349,0.0746832,0.3114034
42,4/5/2020,14:47:44,0,76,178,0.1061935,0.0838267,0.4317925
43,4/6/2020,15:47:44,0,76,204,0.1348225,0.0952783,0.5825717
44,4/7/2020,16:47:44,0,76,229,0.1672568,0.108252,0.7533923
45,4/8/2020,17:47:44,0,76,255,0.2063241,0.1238789,0.9591466
46,4/9/2020,18:47:44,0,102,0,0.0475116,0.0950233,0.0158372
